info,Samp_ID,samp_mg,Ntime_min,N_resp,N_wght_mg,N_wght_p,ele_N,NC_resp_r,Ctime_min,C_resp,C_wght_mg,C_wght_p,ele_C,CC_resp_r,,,,,
165-26E-219-DRY_8_11_2023 8_25_36 PM_100,165-26E-219-DRY,4.261,1.844,217.756,0.089,2.09,Nitrogen,0.023,2.947,9636.778,1.532,35.94,Carbon,1,,,,,
165-SLF-26C-200-DRY_8_11_2023 7_31_27 PM_091,165-SLF-26C-200-DRY,4.605,1.844,275.268,0.112,2.43,Nitrogen,0.024,2.916,11419.435,1.834,39.82,Carbon,1,,,,,
16526C-200_GREEN_8_22_2023 5_31_45 PM_076,16526C-200_GREEN,3.437,1.84,334.825,0.136,3.97,Nitrogen,0.039,2.969,8616.473,1.364,39.69,Carbon,1,,,,,
165SLF-009-100-DRY_8_9_2023 2_11_48 PM_039,165SLF-009-100-DRY,4.868,1.884,192.523,0.078,1.61,Nitrogen,0.016,2.956,11882.186,1.891,38.85,Carbon,1,,,,,
165SLF-009-104-DRY_8_9_2023 1_11_25 PM_029,165SLF-009-104-DRY,4.869,1.88,338.993,0.136,2.79,Nitrogen,0.03,2.964,11479.353,1.823,37.44,Carbon,1,,,,,
165SLF-009-106-DRY_8_9_2023 1_41_43 PM_034,165SLF-009-106-DRY,4.296,1.884,196.809,0.08,1.86,Nitrogen,0.019,2.978,10538.176,1.663,38.72,Carbon,1,,,,,
165SLF-009-110-DRY_8_9_2023 1_29_28 PM_032,165SLF-009-110-DRY,4.648,1.876,350.045,0.14,3.02,Nitrogen,0.031,2.96,11473.865,1.822,39.2,Carbon,1,,,,,
165SLF-009-112-DRY_7_14_2023 11_22_19 AM_026,165SLF-009-112-DRY,4.664,1.862,252.978,0.096,2.07,Nitrogen,0.022,2.973,11512.716,1.785,38.27,Carbon,1,,,,,
165SLF-009-114-DRY_7_14_2023 11_04_16 AM_023,165SLF-009-114-DRY,4.661,1.862,321.901,0.123,2.63,Nitrogen,0.028,2.978,11372.387,1.762,37.8,Carbon,1,,,,,
165SLF-009-12-DRY_8_10_2023 1_14_51 PM_033,165SLF-009-12-DRY,4.378,1.876,228.122,0.092,2.11,Nitrogen,0.021,2.96,10778.77,1.71,39.07,Carbon,1,,,,,
165SLF-009-12-DRY_8_10_2023 1_14_51 PM_033,165SLF-009-12-DRY,4.378,1.876,228.122,0.092,2.11,Nitrogen,0.021,2.96,10778.77,1.71,39.07,Carbon,1,,,,,
165SLF-009-13-DRY_8_10_2023 4_57_46 PM_070,165SLF-009-13-DRY,4.138,1.867,228.783,0.092,2.23,Nitrogen,0.023,2.973,10015.139,1.582,38.23,Carbon,1,,,,,
165SLF-009-13-DRY_8_10_2023 4_57_46 PM_070,165SLF-009-13-DRY,4.138,1.867,228.783,0.092,2.23,Nitrogen,0.023,2.973,10015.139,1.582,38.23,Carbon,1,,,,,
165SLF-009-14_GREEN_8_24_2023 11_10_59 AM_025,165SLF-009-14_GREEN,3.26,1.844,253.032,0.104,3.19,Nitrogen,0.032,2.987,7892.946,1.242,38.1,Carbon,1,,,,,
165SLF-009-14-DRY_7_13_2023 3_11_19 PM_051,165SLF-009-14-DRY,4.465,1.862,237.275,0.093,2.08,Nitrogen,0.021,2.969,11363.212,1.781,39.88,Carbon,1,,,,,
165SLF-009-164-DRY_8_11_2023 7_07_23 PM_087,165SLF-009-164-DRY,4.822,1.858,166.643,0.069,1.43,Nitrogen,0.015,2.924,11246.483,1.804,37.42,Carbon,1,,,,,
165SLF-009-165-DRY_8_11_2023 7_19_25 PM_089,165SLF-009-165-DRY,4.935,1.858,187.949,0.077,1.57,Nitrogen,0.017,2.929,11176.687,1.792,36.32,Carbon,1,,,,,
165SLF-009-18-DRY_8_10_2023 5_03_47 PM_071,165SLF-009-18-DRY,4.45,1.871,243.165,0.098,2.2,Nitrogen,0.023,2.964,10666.623,1.691,38.01,Carbon,1,,,,,
165SLF-009-18-DRY_8_10_2023 5_03_47 PM_071,165SLF-009-18-DRY,4.45,1.871,243.165,0.098,2.2,Nitrogen,0.023,2.964,10666.623,1.691,38.01,Carbon,1,,,,,
165SLF-009-194_GREEN_8_23_2023 6_06_17 PM_090,165SLF-009-194_GREEN,,3.072,,1.836,201.811,0.084,,2.73,Nitrogen,0.026,2.982,7898.107,1.236,,40.24,,,
165SLF-009-194-DRY_8_11_2023 5_07_02 PM_067,165SLF-009-194-DRY,4.977,1.862,203.505,0.083,1.68,Nitrogen,0.016,2.916,12469.92,2.015,40.49,Carbon,1,,,,,
165SLF-009-47-DRY_8_10_2023 7_22_11 PM_094,165SLF-009-47-DRY,4.876,1.88,248.02,0.1,2.05,Nitrogen,0.022,2.96,11173.11,1.777,36.45,Carbon,1,,,,,
165SLF-009-47-DRY_8_10_2023 7_22_11 PM_094,165SLF-009-47-DRY,4.876,1.88,248.02,0.1,2.05,Nitrogen,0.022,2.96,11173.11,1.777,36.45,Carbon,1,,,,,
165SLF-009-49-DRY_8_11_2023 12_26_48 PM_021,165SLF-009-49-DRY,4.466,1.862,298.028,0.121,2.7,Nitrogen,0.028,2.947,10655.629,1.704,38.15,Carbon,1,,,,,
165SLF-009-50-DRY_8_11_2023 2_12_31 PM_038,165SLF-009-50-DRY,4.7,1.858,388.357,0.156,3.33,Nitrogen,0.036,2.947,10867.088,1.74,37.01,Carbon,1,,,,,
165SLF-009-51-DRY_8_10_2023 12_56_35 PM_030,165SLF-009-51-DRY,4.616,1.88,280.92,0.113,2.45,Nitrogen,0.026,2.973,10631.706,1.686,36.52,Carbon,1,,,,,
165SLF-009-51-DRY_8_10_2023 12_56_35 PM_030,165SLF-009-51-DRY,4.616,1.88,280.92,0.113,2.45,Nitrogen,0.026,2.973,10631.706,1.686,36.52,Carbon,1,,,,,
165SLF-009-54-DRY_8_9_2023 1_23_27 PM_031,165SLF-009-54-DRY,4.783,1.88,298.631,0.12,2.51,Nitrogen,0.027,2.969,11171.38,1.77,37.01,Carbon,1,,,,,
165SLF-009-55-DRY_8_11_2023 12_20_47 PM_020,165SLF-009-55-DRY,4.967,1.867,262.277,0.107,2.15,Nitrogen,0.023,2.942,11369.825,1.825,36.75,Carbon,1,,,,,
165SLF-009-56-DRY_8_9_2023 2_17_49 PM_040,165SLF-009-56-DRY,4.063,1.876,247.629,0.1,2.46,Nitrogen,0.025,2.987,9931.153,1.562,38.44,Carbon,1,,,,,
165SLF-009-74-DRY_7_14_2023 11_10_17 AM_024,165SLF-009-74-DRY,4.667,1.867,288.945,0.11,2.36,Nitrogen,0.024,2.973,12048.612,1.873,40.14,Carbon,1,,,,,
165SLF-009-76-DRY_8_9_2023 12_59_23 PM_027,165SLF-009-76-DRY,4.502,1.884,224.245,0.091,2.02,Nitrogen,0.022,2.987,10221.616,1.61,35.77,Carbon,1,,,,,
165SLF-009-78-DRY_8_10_2023 6_40_04 PM_087,165SLF-009-78-DRY,4.875,1.867,369.04,0.148,3.03,Nitrogen,0.033,2.951,11208.677,1.783,36.58,Carbon,1,,,,,
165SLF-009-78-DRY_8_10_2023 6_40_04 PM_087,165SLF-009-78-DRY,4.875,1.867,369.04,0.148,3.03,Nitrogen,0.033,2.951,11208.677,1.783,36.58,Carbon,1,,,,,
165SLF-009-81-DRY_8_11_2023 2_36_36 PM_042,165SLF-009-81-DRY,4.374,1.862,270.117,0.11,2.51,Nitrogen,0.026,2.956,10293.929,1.642,37.55,Carbon,1,,,,,
165SLF-009-82-DRY_8_10_2023 11_50_25 AM_019,165SLF-009-82-DRY,4.472,1.88,207.563,0.084,1.88,Nitrogen,0.02,2.973,10574.627,1.676,37.48,Carbon,1,,,,,
165SLF-009-82-DRY_8_10_2023 11_50_25 AM_019,165SLF-009-82-DRY,4.472,1.88,207.563,0.084,1.88,Nitrogen,0.02,2.973,10574.627,1.676,37.48,Carbon,1,,,,,
165SLF-009-83-DRY_8_11_2023 12_02_43 PM_017,165SLF-009-83-DRY,4.949,1.867,209.928,0.086,1.74,Nitrogen,0.019,2.942,11117.567,1.782,36.01,Carbon,1,,,,,
165SLF-009-84-DRY_8_9_2023 12_47_21 PM_025,165SLF-009-84-DRY,4.46,1.884,267.975,0.108,2.42,Nitrogen,0.026,2.987,10156.269,1.599,35.86,Carbon,1,,,,,
165SLF-009-86-DRY_8_11_2023 1_33_00 PM_032,165SLF-009-86-DRY,4.772,1.871,151.975,0.063,1.32,Nitrogen,0.015,2.956,10423.414,1.664,34.87,Carbon,1,,,,,
165SLF-009-90-DRY_8_9_2023 12_53_22 PM_026,165SLF-009-90-DRY,4.305,1.88,246.256,0.099,2.31,Nitrogen,0.022,2.969,10997.992,1.741,40.44,Carbon,1,,,,,
165SLF-009-92-DRY_8_11_2023 1_57_04 PM_036,165SLF-009-92-DRY,4.648,1.862,275.951,0.112,2.41,Nitrogen,0.026,2.951,10753.025,1.72,37.01,Carbon,1,,,,,
165SLF-009-94-DRY_8_9_2023 1_17_26 PM_030,165SLF-009-94-DRY,4.643,1.884,285.499,0.115,2.47,Nitrogen,0.026,2.978,10825.481,1.712,36.87,Carbon,1,,,,,
165SLF-009-96-DRY_8_9_2023 4_00_16 PM_057,165SLF-009-96-DRY,4.753,1.88,229.064,0.093,1.95,Nitrogen,0.02,2.964,11270.9,1.787,37.6,Carbon,1,,,,,
165SLF-009-97-DRY_8_9_2023 3_30_10 PM_052,165SLF-009-97-DRY,4.743,1.871,338.044,0.135,2.86,Nitrogen,0.03,2.951,11400.202,1.809,38.15,Carbon,1,,,,,
165SLF-009-99-DRY_8_10_2023 6_46_05 PM_088,165SLF-009-99-DRY,4.239,1.871,333.963,0.134,3.16,Nitrogen,0.031,2.964,10617.639,1.683,39.71,Carbon,1,,,,,
165SLF-009-99-DRY_8_10_2023 6_46_05 PM_088,165SLF-009-99-DRY,4.239,1.871,333.963,0.134,3.16,Nitrogen,0.031,2.964,10617.639,1.683,39.71,Carbon,1,,,,,
165SLF-009B-10_GREEN_8_24_2023 10_16_50 AM_016,165SLF-009B-10_GREEN,3.462,1.84,287.843,0.118,3.4,Nitrogen,0.033,2.964,8629.695,1.364,39.39,Carbon,1,,,,,
165SLF-009B-10-DRY_8_10_2023 12_38_33 PM_027,165SLF-009B-10-DRY,4.913,1.88,267.358,0.108,2.19,Nitrogen,0.022,2.947,12257.988,1.963,39.95,Carbon,1,,,,,
165SLF-009B-10-DRY_8_10_2023 12_38_33 PM_027,165SLF-009B-10-DRY,4.913,1.88,267.358,0.108,2.19,Nitrogen,0.022,2.947,12257.988,1.963,39.95,Carbon,1,,,,,
165SLF-009B-105-DRY_8_11_2023 11_56_41 AM_016,165SLF-009B-105-DRY,4.742,1.867,328.252,0.133,2.8,Nitrogen,0.03,2.947,10768.885,1.723,36.33,Carbon,1,,,,,
165SLF-009B-108-DRY_8_9_2023 3_36_11 PM_053,165SLF-009B-108-DRY,4.508,1.871,283.981,0.114,2.53,Nitrogen,0.026,2.96,10858.187,1.717,38.1,Carbon,1,,,,,
165SLF-009B-108-DRY_8_11_2023 1_45_02 PM_034,165SLF-009B-108-DRY,4.539,1.862,226.758,0.093,2.04,Nitrogen,0.022,2.951,10300.321,1.643,36.21,Carbon,1,,,,,
165SLF-009B-111-DRY_8_11_2023 2_30_34 PM_041,165SLF-009B-111-DRY,4.69,1.862,204.956,0.084,1.79,Nitrogen,0.02,2.951,10316.674,1.646,35.1,Carbon,1,,,,,
165SLF-009B-112-DRY_7_14_2023 11_16_18 AM_025,165SLF-009B-112-DRY,4.879,1.867,234.837,0.089,1.83,Nitrogen,0.02,2.978,11719.762,1.819,37.28,Carbon,1,,,,,
165SLF-009B-113-DRY_8_9_2023 3_24_09 PM_051,165SLF-009B-113-DRY,4.915,1.876,320.133,0.128,2.61,Nitrogen,0.028,2.956,11608.972,1.845,37.53,Carbon,1,,,,,
165SLF-009B-114-DRY_8_10_2023 7_16_10 PM_093,165SLF-009B-114-DRY,4.756,1.88,269.333,0.108,2.28,Nitrogen,0.024,2.96,11392.992,1.815,38.15,Carbon,1,,,,,
165SLF-009B-114-DRY_8_10_2023 7_16_10 PM_093,165SLF-009B-114-DRY,4.756,1.88,269.333,0.108,2.28,Nitrogen,0.024,2.96,11392.992,1.815,38.15,Carbon,1,,,,,
165SLF-009B-116-DRY_8_9_2023 3_18_08 PM_050,165SLF-009B-116-DRY,4.405,1.871,335.901,0.135,3.06,Nitrogen,0.031,2.964,10888.944,1.723,39.11,Carbon,1,,,,,
165SLF-009B-124-DRY_8_9_2023 1_53_45 PM_036,165SLF-009B-124-DRY,4.738,1.876,212.668,0.086,1.82,Nitrogen,0.019,2.956,11370.672,1.804,38.08,Carbon,1,,,,,
165SLF-009B-125-DRY_8_9_2023 1_59_46 PM_037,165SLF-009B-125-DRY,4.276,1.88,211.416,0.086,2,Nitrogen,0.02,2.978,10495.039,1.656,38.73,Carbon,1,,,,,
165SLF-009B-133-DRY_8_9_2023 12_41_20 PM_024,165SLF-009B-133-DRY,4.564,1.876,403.827,0.161,3.54,Nitrogen,0.035,2.964,11445.126,1.817,39.81,Carbon,1,,,,,
165SLF-009B-170-DRY_8_11_2023 8_01_32 PM_096,165SLF-009B-170-DRY,4.623,1.853,192.451,0.079,1.71,Nitrogen,0.017,2.92,11144.787,1.787,38.65,Carbon,1,,,,,
165SLF-009B-180-DRY_8_15_2023 12_04_32 PM_019,165SLF-009B-180-DRY,4.446,1.876,187.998,0.077,1.72,Nitrogen,0.019,2.973,10128.901,1.601,36.02,Carbon,1,,,,,
165SLF-009B-182_GREEN_8_22_2023 9_08_25 PM_112,165SLF-009B-182_GREEN,3.457,1.849,290.339,0.119,3.43,Nitrogen,0.033,2.973,8745.242,1.386,40.08,Carbon,1,,,,,
165SLF-009B-62-DRY_8_9_2023 3_48_13 PM_055,165SLF-009B-62-DRY,4.676,1.876,393.848,0.157,3.37,Nitrogen,0.036,2.973,10856.122,1.717,36.72,Carbon,1,,,,,
165SLF-009B-63-DRY_8_9_2023 1_05_24 PM_028,165SLF-009B-63-DRY,4.778,1.884,275.675,0.111,2.32,Nitrogen,0.024,2.964,11297.432,1.792,37.5,Carbon,1,,,,,
165SLF-009B-64-DRY_8_9_2023 12_35_19 PM_023,165SLF-009B-64-DRY,4.676,1.88,360.728,0.144,3.09,Nitrogen,0.031,2.96,11568.462,1.838,39.3,Carbon,1,,,,,
165SLF-009B-67-DRY_8_9_2023 2_23_50 PM_041,165SLF-009B-67-DRY,4.066,1.88,227.146,0.092,2.26,Nitrogen,0.024,2.991,9589.09,1.505,37.01,Carbon,1,,,,,
165SLF-009B-71-DRY_8_10_2023 7_04_08 PM_091,165SLF-009B-71-DRY,4.183,1.871,228.621,0.092,2.21,Nitrogen,0.023,2.978,9827.773,1.551,37.07,Carbon,1,,,,,
165SLF-009B-71-DRY_8_10_2023 7_04_08 PM_091,165SLF-009B-71-DRY,4.183,1.871,228.621,0.092,2.21,Nitrogen,0.023,2.978,9827.773,1.551,37.07,Carbon,1,,,,,
165SLF-009B-72-DRY_8_9_2023 1_47_44 PM_035,165SLF-009B-72-DRY,4.663,1.88,369.125,0.148,3.17,Nitrogen,0.034,2.973,10738.202,1.697,36.4,Carbon,1,,,,,
165SLF-016-04_GREEN_8_24_2023 12_36_30 PM_037,165SLF-016-04_GREEN,3.419,1.84,222.513,0.092,2.69,Nitrogen,0.027,2.973,8377.799,1.322,38.66,Carbon,1,,,,,
165SLF-016-04-DRY_8_11_2023 3_42_47 PM_053,165SLF-016-04-DRY,4.452,1.862,153.083,0.064,1.43,Nitrogen,0.014,2.938,10659.904,1.704,38.28,Carbon,1,,,,,
165SLF-016-14-DRY_8_11_2023 4_54_59 PM_065,165SLF-016-14-DRY,4.087,1.853,256.69,0.104,2.55,Nitrogen,0.025,2.947,10150.261,1.618,39.59,Carbon,1,,,,,
165SLF-016-15_GREEN_8_24_2023 12_30_29 PM_036,165SLF-016-15_GREEN,3.487,1.836,292.325,0.12,3.43,Nitrogen,0.034,2.96,8669.99,1.37,39.3,Carbon,1,,,,,
165SLF-016-15-DRY_8_11_2023 3_36_46 PM_052,165SLF-016-15-DRY,4.786,1.867,207.651,0.085,1.78,Nitrogen,0.018,2.938,11236.373,1.803,37.66,Carbon,1,,,,,
165SLF-016-19_GREEN_8_23_2023 5_48_13 PM_087,165SLF-016-19_GREEN,,3.123,,1.831,276.131,0.113,,3.63,Nitrogen,0.036,2.982,7668.272,1.199,,38.38,,,
165SLF-016-31_GREEN_8_23_2023 5_42_12 PM_086,165SLF-016-31_GREEN,,3.108,,1.836,211.835,0.088,,2.83,Nitrogen,0.027,2.978,7741.793,1.211,,38.95,,,
165SLF-016-39_GREEN_8_24_2023 12_24_28 PM_035,165SLF-016-39_GREEN,3.1,1.836,227.056,0.094,3.02,Nitrogen,0.029,2.982,7869.193,1.238,39.94,Carbon,1,,,,,
165SLF-016-39-DRY_8_11_2023 3_30_45 PM_051,165SLF-016-39-DRY,4.24,1.862,154.86,0.064,1.52,Nitrogen,0.015,2.938,10627.016,1.699,40.06,Carbon,1,,,,,
165SLF-016B-38_GREEN_8_23_2023 6_00_16 PM_089,165SLF-016B-38_GREEN,,3.172,,1.836,249.117,0.103,,3.24,Nitrogen,0.032,2.982,7892.307,1.235,,38.94,,,
165SLF-016B-38-DRY_8_10_2023 1_26_53 PM_035,165SLF-016B-38-DRY,4.956,1.884,165.801,0.068,1.36,Nitrogen,0.014,2.951,11943.238,1.909,38.51,Carbon,1,,,,,
165SLF-016B-38-DRY_8_10_2023 1_26_53 PM_035,165SLF-016B-38-DRY,4.956,1.884,165.801,0.068,1.36,Nitrogen,0.014,2.951,11943.238,1.909,38.51,Carbon,1,,,,,
165SLF-016B-42-DRY_8_11_2023 1_20_58 PM_030,165SLF-016B-42-DRY,4.289,1.867,120.413,0.051,1.18,Nitrogen,0.011,2.947,10607.109,1.695,39.53,Carbon,1,,,,,
165SLF-025-03_GREEN_8_23_2023 5_06_06 PM_080,165SLF-025-03_GREEN,,3.127,,1.836,283.378,0.116,,3.72,Nitrogen,0.035,2.973,8099.263,1.269,,40.59,,,
165SLF-025-03-DRY_8_10_2023 5_51_55 PM_079,165SLF-025-03-DRY,4.264,1.862,271.533,0.109,2.56,Nitrogen,0.025,2.951,10843.443,1.721,40.37,Carbon,1,,,,,
165SLF-025-03-DRY_8_10_2023 5_51_55 PM_079,165SLF-025-03-DRY,4.264,1.862,271.533,0.109,2.56,Nitrogen,0.025,2.951,10843.443,1.721,40.37,Carbon,1,,,,,
165SLF-025-11_GREEN_8_23_2023 5_36_11 PM_085,165SLF-025-11_GREEN,,3.083,,1.836,258.948,0.107,,3.46,Nitrogen,0.032,2.978,8002.674,1.253,,40.65,,,
165SLF-025-11-DRY_8_11_2023 4_48_58 PM_064,165SLF-025-11-DRY,4.808,1.858,318.793,0.129,2.68,Nitrogen,0.027,2.924,11859.368,1.909,39.71,Carbon,1,,,,,
165SLF-025-14_GREEN_8_23_2023 6_30_22 PM_094,165SLF-025-14_GREEN,,3.027,,1.836,275.151,0.113,,3.73,Nitrogen,0.036,2.987,7709.921,1.205,,39.82,,,
165SLF-025-14-DRY_8_11_2023 4_06_51 PM_057,165SLF-025-14-DRY,4.276,1.853,386.513,0.156,3.64,Nitrogen,0.035,2.929,11175.223,1.792,41.91,Carbon,1,,,,,
165SLF-025-18_GREEN_8_23_2023 5_00_04 PM_079,165SLF-025-18_GREEN,,3.349,,1.836,254.241,0.105,,3.13,Nitrogen,0.031,2.969,8227.708,1.29,,38.53,,,
165SLF-025-18-DRY_8_11_2023 5_13_03 PM_068,165SLF-025-18-DRY,4.355,1.853,285.265,0.116,2.66,Nitrogen,0.023,2.911,12184.258,1.966,45.13,Carbon,1,,,,,
165SLF-025-20_GREEN_8_23_2023 6_18_19 PM_092,165SLF-025-20_GREEN,,3.118,,1.831,267.474,0.11,,3.53,Nitrogen,0.034,2.978,7851.813,1.229,,39.4,,,
165SLF-025-20-DRY_8_11_2023 5_01_00 PM_066,165SLF-025-20-DRY,4.174,1.858,191.784,0.079,1.89,Nitrogen,0.019,2.947,10091.643,1.608,38.53,Carbon,1,,,,,
165SLF-025-21_GREEN_8_24_2023 12_18_27 PM_034,165SLF-025-21_GREEN,3.276,1.827,335.2,0.137,4.17,Nitrogen,0.041,2.96,8268.455,1.304,39.8,Carbon,1,,,,,
165SLF-025-21-DRY_8_11_2023 4_18_53 PM_059,165SLF-025-21-DRY,4.834,1.853,341.699,0.138,2.85,Nitrogen,0.029,2.92,11748.726,1.89,39.11,Carbon,1,,,,,
165SLF-025-23_GREEN_8_23_2023 5_12_07 PM_081,165SLF-025-23_GREEN,,3.194,,1.836,341.252,0.139,,4.36,Nitrogen,0.037,2.956,9215.455,1.454,,45.52,,,
165SLF-025-23-DRY_8_11_2023 6_07_12 PM_077,165SLF-025-23-DRY,4.155,1.858,203.46,0.083,2.01,Nitrogen,0.021,2.956,9664.524,1.536,36.97,Carbon,1,,,,,
165SLF-025-24_GREEN_8_23_2023 6_24_20 PM_093,165SLF-025-24_GREEN,,3.216,,1.84,245.637,0.101,,3.15,Nitrogen,0.031,2.978,8030.856,1.258,,39.12,,,
165SLF-025-24-DRY_8_11_2023 4_00_50 PM_056,165SLF-025-24-DRY,4.464,1.853,300.906,0.122,2.73,Nitrogen,0.027,2.933,10954.337,1.754,39.3,Carbon,1,,,,,
165SLF-26-223_GREEN_8_24_2023 12_42_31 PM_038,165SLF-26-223_GREEN,3.083,1.831,273.117,0.112,3.63,Nitrogen,0.036,2.982,7604.276,1.195,38.75,Carbon,1,,,,,
165SLF-26-223-DRY_8_10_2023 1_20_52 PM_034,165SLF-26-223-DRY,4.93,1.876,284.532,0.114,2.32,Nitrogen,0.024,2.947,11883.591,1.898,38.51,Carbon,1,,,,,
165SLF-26-223-DRY_8_10_2023 1_20_52 PM_034,165SLF-26-223-DRY,4.93,1.876,284.532,0.114,2.32,Nitrogen,0.024,2.947,11883.591,1.898,38.51,Carbon,1,,,,,
165SLF-26b-191_GREEN_8_23_2023 12_34_09 PM_037,165SLF-26b-191_GREEN,,3.234,,1.84,322.958,0.132,,4.08,Nitrogen,0.04,2.987,8073.364,1.265,,39.11,,,
165SLF-26B-191-DRY_8_10_2023 2_57_18 PM_050,165SLF-26B-191-DRY,4.919,1.871,359.341,0.144,2.93,Nitrogen,0.03,2.938,11996.852,1.918,38.99,Carbon,1,,,,,
165SLF-26B-191-DRY_8_10_2023 2_57_18 PM_050,165SLF-26B-191-DRY,4.919,1.871,359.341,0.144,2.93,Nitrogen,0.03,2.938,11996.852,1.918,38.99,Carbon,1,,,,,
165SLF-26b-212-DRY_8_11_2023 12_14_45 PM_019,165SLF-26b-212-DRY,4.973,1.867,308.293,0.125,2.51,Nitrogen,0.026,2.929,11994.304,1.933,38.86,Carbon,1,,,,,
165SLF-26B-220-DRY_8_11_2023 7_37_28 PM_092,165SLF-26B-220-DRY,4.404,1.853,138.516,0.058,1.31,Nitrogen,0.013,2.933,10380.081,1.657,37.62,Carbon,1,,,,,
165SLF-26d-154_GREEN_8_23_2023 12_40_10 PM_038,165SLF-26d-154_GREEN,,3.206,,1.844,249.287,0.103,,3.2,Nitrogen,0.033,2.996,7665.414,1.198,,37.37,,,
165SLF-26d-154-DRY_8_10_2023 2_15_01 PM_043,165SLF-26d-154-DRY,4.917,1.876,238.907,0.096,1.96,Nitrogen,0.021,2.956,11374.163,1.811,36.84,Carbon,1,,,,,
165SLF-26d-154-DRY_8_10_2023 2_15_01 PM_043,165SLF-26d-154-DRY,4.917,1.876,238.907,0.096,1.96,Nitrogen,0.021,2.956,11374.163,1.811,36.84,Carbon,1,,,,,
165SLF-26D-217-DRY_8_9_2023 3_12_07 PM_049,165SLF-26D-217-DRY,4.293,1.876,254.463,0.103,2.39,Nitrogen,0.025,2.978,10141.558,1.597,37.2,Carbon,1,,,,,
165SLF-26e-140_GREEN_8_22_2023 9_26_29 PM_115,165SLF-26e-140_GREEN,3.112,1.844,253.049,0.104,3.34,Nitrogen,0.033,2.991,7754.296,1.222,39.26,Carbon,1,,,,,
165SLF-26e-140-DRY_7_13_2023 4_17_31 PM_062,165SLF-26e-140-DRY,4.693,1.849,295.805,0.115,2.46,Nitrogen,0.025,2.956,11717.081,1.84,39.2,Carbon,1,,,,,
165SLF-26e-189_GREEN_8_23_2023 12_46_11 PM_039,165SLF-26e-189_GREEN,,3.17,,1.84,289.431,0.119,,3.74,Nitrogen,0.037,2.987,7841.304,1.227,,38.7,,,
165SLF-26e-189-DRY_7_13_2023 4_11_30 PM_061,165SLF-26e-189-DRY,4.494,1.853,266.398,0.104,2.32,Nitrogen,0.024,2.969,11068.264,1.732,38.53,Carbon,1,,,,,
165SLF-26e-190_GREEN_8_22_2023 8_44_21 PM_108,165SLF-26e-190_GREEN,3.29,1.84,329.443,0.134,4.08,Nitrogen,0.041,2.982,8126.498,1.283,39,Carbon,1,,,,,
165SLF-26e-190-DRY_7_13_2023 4_23_32 PM_063,165SLF-26e-190-DRY,4.519,1.853,358.728,0.14,3.09,Nitrogen,0.031,2.96,11403.846,1.787,39.55,Carbon,1,,,,,
165SLF-26e-194-DRY_8_11_2023 7_49_30 PM_094,165SLF-26e-194-DRY,4.246,1.84,284.519,0.115,2.72,Nitrogen,0.026,2.916,10806.428,1.729,40.73,Carbon,1,,,,,
165SLF-26e-196-DRY_8_15_2023 12_22_35 PM_022,165SLF-26e-196-DRY,4.249,1.867,327.243,0.132,3.1,Nitrogen,0.031,2.96,10507.855,1.665,39.19,Carbon,1,,,,,
165SLF-26e-198-DRY_8_11_2023 8_19_35 PM_099,165SLF-26e-198-DRY,4.143,1.844,253.731,0.103,2.49,Nitrogen,0.025,2.938,10223.857,1.63,39.35,Carbon,1,,,,,
165SLF-26E-221_GREEN_8_23_2023 5_54_14 PM_088,165SLF-26E-221_GREEN,,3.162,,1.831,248.417,0.102,,3.24,Nitrogen,0.033,2.987,7590.323,1.186,,37.5,,,
165SLF-26e-221-DRY_8_11_2023 4_42_57 PM_063,165SLF-26e-221-DRY,4.251,1.867,172.204,0.071,1.67,Nitrogen,0.018,2.96,9821.021,1.563,36.76,Carbon,1,,,,,
168SLF-009B-65-DRY_8_10_2023 6_52_06 PM_089,168SLF-009B-65-DRY,4.047,1.867,249.971,0.101,2.49,Nitrogen,0.026,2.973,9697.354,1.529,37.78,Carbon,1,,,,,
168SLF-009B-65-DRY_8_10_2023 6_52_06 PM_089,168SLF-009B-65-DRY,4.047,1.867,249.971,0.101,2.49,Nitrogen,0.026,2.973,9697.354,1.529,37.78,Carbon,1,,,,,
168SLF-016-31-DRY_8_10_2023 6_03_57 PM_081,168SLF-016-31-DRY,4.468,1.867,198.509,0.08,1.8,Nitrogen,0.018,2.947,11340.327,1.806,40.41,Carbon,1,,,,,
168SLF-016-31-DRY_8_10_2023 6_03_57 PM_081,168SLF-016-31-DRY,4.468,1.867,198.509,0.08,1.8,Nitrogen,0.018,2.947,11340.327,1.806,40.41,Carbon,1,,,,,
169-26D-216 DEAD_8_24_2023 5_34_52 PM_086,169-26D-216 DEAD,4.274,1.849,228.717,0.094,2.21,Nitrogen,0.022,2.947,10342.867,1.65,38.61,Carbon,1,,,,,
2019-ALLE-JG-007-04-DRY_8_11_2023 1_51_03 PM_035,2019-ALLE-JG-007-04-DRY,4.886,1.858,236.985,0.097,1.98,Nitrogen,0.021,2.929,11339.985,1.82,37.25,Carbon,1,,,,,
2019-ALLE-JG-007-08_GREEN_8_24_2023 10_10_49 AM_015,2019-ALLE-JG-007-08_GREEN,3.323,1.84,265.546,0.109,3.28,Nitrogen,0.032,2.964,8332.339,1.314,39.55,Carbon,1,,,,,
